Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
30-May-24,Thursday,May,Q2,2024,EQ,2250,2324.9,2218.7,2234.7,2239,2234.35,2274.42,2364,738.6,204036,17365
29-May-24,Wednesday,May,Q2,2024,EQ,2137.05,2234.7,2130.05,2128.3,2234.7,2234.7,2207.13,2364,738.6,152085,10352
28-May-24,Tuesday,May,Q2,2024,EQ,2181.7,2184.9,2074.75,2153.7,2139,2128.3,2128.44,2364,738.6,79123,9258
27-May-24,Monday,May,Q2,2024,EQ,2138,2215,2111.45,2128.7,2175,2153.7,2169.89,2364,738.6,123421,13057
24-May-24,Friday,May,Q2,2024,EQ,2120.6,2168,2083.15,2094.3,2136,2128.7,2124.7,2364,738.6,105365,10805
23-May-24,Thursday,May,Q2,2024,EQ,2199.95,2248.8,2075.25,2147.8,2114.95,2094.3,2170.82,2364,738.6,237416,16068
22-May-24,Wednesday,May,Q2,2024,EQ,2085,2158.25,2074.95,2055.5,2149,2147.8,2146.8,2364,738.6,257139,10667
21-May-24,Tuesday,May,Q2,2024,EQ,2200,2215,2055.2,2163.35,2055.8,2055.5,2096.92,2364,738.6,219463,17708
18-May-24,Saturday,May,Q2,2024,EQ,2191.35,2240,2105.15,2191.35,2172.5,2163.35,2172.54,2364,738.6,74793,6501
17-May-24,Friday,May,Q2,2024,EQ,2303.15,2303.15,2191.35,2306.65,2191.35,2191.35,2211.43,2364,738.6,185590,11810
16-May-24,Thursday,May,Q2,2024,EQ,2346.8,2364,2275.5,2264.95,2285,2306.65,2320.95,2364,738.6,313319,28816
15-May-24,Wednesday,May,Q2,2024,EQ,2180,2265.05,2147.1,2157.2,2265.05,2264.95,2237.54,2265.05,738.6,362834,19140
14-May-24,Tuesday,May,Q2,2024,EQ,2094.95,2158.2,2057.9,2055.45,2158.05,2157.2,2139.16,2158.2,738.6,410271,21310
13-May-24,Monday,May,Q2,2024,EQ,1977,2058.2,1881,1960.2,2055.9,2055.45,2011.37,2058.2,738.6,320788,19639
10-May-24,Friday,May,Q2,2024,EQ,2018.55,2050,1944.95,1984.95,1959.9,1960.2,1972.69,2050,738.6,254348,28347
09-May-24,Thursday,May,Q2,2024,EQ,1943,2028.25,1936,1931.7,1989,1984.95,2008.79,2028.25,738.6,547655,25815
08-May-24,Wednesday,May,Q2,2024,EQ,2004.95,2005,1899.8,1933.1,1940.7,1931.7,1935.39,2005,738.6,165702,16792
07-May-24,Tuesday,May,Q2,2024,EQ,1952,2001.6,1886.1,1932.15,1925,1933.1,1944.42,2001.6,738.6,354935,31634
06-May-24,Monday,May,Q2,2024,EQ,1945.25,1945.25,1881,1852.65,1939.8,1932.15,1942.46,1945.25,738.6,798234,16916
03-May-24,Friday,May,Q2,2024,EQ,1852.65,1852.65,1852.65,1764.45,1852.65,1852.65,1852.65,1892.6,738.6,496899,2968
02-May-24,Thursday,May,Q2,2024,EQ,1764.45,1764.45,1764.45,1680.45,1764.45,1764.45,1764.45,1892.6,738.6,40569,677
30-Apr-24,Tuesday,April,Q2,2024,EQ,1651,1741,1651,1679.4,1685,1680.45,1689.75,1892.6,738.6,66482,7413
29-Apr-24,Monday,April,Q2,2024,EQ,1730,1730,1627,1697.5,1675,1679.4,1664.14,1892.6,738.6,56419,5706
26-Apr-24,Friday,April,Q2,2024,EQ,1749.95,1749.95,1688,1719.5,1700,1697.5,1714.72,1892.6,738.6,38086,4391
25-Apr-24,Thursday,April,Q2,2024,EQ,1764.4,1798,1711.15,1730.85,1722.5,1719.5,1750.81,1892.6,738.6,182075,8177
24-Apr-24,Wednesday,April,Q2,2024,EQ,1666,1740,1648.8,1657.55,1739.7,1730.85,1702.83,1892.6,738.6,68662,6404
23-Apr-24,Tuesday,April,Q2,2024,EQ,1687.95,1692,1650,1658.5,1666.95,1657.55,1673.55,1892.6,738.6,31918,3373
22-Apr-24,Monday,April,Q2,2024,EQ,1700.95,1700.95,1645,1669,1657,1658.5,1669.25,1892.6,738.6,54236,5065
19-Apr-24,Friday,April,Q2,2024,EQ,1680,1740,1612,1695.45,1669,1669,1659.91,1892.6,738.6,119042,10802
18-Apr-24,Thursday,April,Q2,2024,EQ,1675,1696.9,1675,1616.1,1696.9,1695.45,1693.54,1892.6,738.6,133407,2667
16-Apr-24,Tuesday,April,Q2,2024,EQ,1561.2,1654.25,1552.05,1575.65,1634.55,1616.1,1620.05,1892.6,738.6,112158,4911
15-Apr-24,Monday,April,Q2,2024,EQ,1546,1599.9,1542.5,1616.2,1574.7,1575.65,1570.06,1892.6,738.6,81578,9397
12-Apr-24,Friday,April,Q2,2024,EQ,1626.65,1647,1610,1626.7,1619.9,1616.2,1628.4,1892.6,738.6,190379,4535
10-Apr-24,Wednesday,April,Q2,2024,EQ,1626,1647,1564.15,1633.65,1628.95,1626.7,1606.74,1892.6,738.6,88017,10834
09-Apr-24,Tuesday,April,Q2,2024,EQ,1666,1680,1620,1664.85,1632,1633.65,1654.16,1892.6,738.6,85116,9004
08-Apr-24,Monday,April,Q2,2024,EQ,1664.6,1682.95,1653.65,1648.35,1665,1664.85,1669.46,1892.6,738.6,70822,6501
05-Apr-24,Friday,April,Q2,2024,EQ,1636,1666.4,1611.55,1649.1,1660,1648.35,1645.58,1892.6,738.6,94566,6695
04-Apr-24,Thursday,April,Q2,2024,EQ,1707.3,1707.3,1633,1662.1,1654.5,1649.1,1652.68,1892.6,738.6,49212,4600
03-Apr-24,Wednesday,April,Q2,2024,EQ,1659,1700,1637.1,1662.65,1665.05,1662.1,1662.51,1892.6,738.6,72515,6395
02-Apr-24,Tuesday,April,Q2,2024,EQ,1735,1740,1659,1685.5,1663,1662.65,1687.09,1892.6,738.6,87781,7177
01-Apr-24,Monday,April,Q2,2024,EQ,1649.95,1688,1640,1607.65,1688,1685.5,1684.33,1892.6,738.6,124721,3985
28-Mar-24,Thursday,March,Q1,2024,EQ,1664.9,1664.9,1598.05,1635.7,1610,1607.65,1632.17,1892.6,738.6,98635,6334
27-Mar-24,Wednesday,March,Q1,2024,EQ,1608.95,1640,1592.3,1592.3,1639.9,1635.7,1613.85,1892.6,738.6,68460,5062
26-Mar-24,Tuesday,March,Q1,2024,EQ,1642.05,1656.95,1585,1631.1,1590,1592.3,1606.5,1892.6,738.6,70887,6823
22-Mar-24,Friday,March,Q1,2024,EQ,1640,1665,1571,1593.05,1640,1631.1,1620.81,1892.6,738.6,156199,9822
21-Mar-24,Thursday,March,Q1,2024,EQ,1558.95,1593.05,1505.25,1517.2,1593.05,1593.05,1556.45,1892.6,738.6,68856,5236
20-Mar-24,Wednesday,March,Q1,2024,EQ,1516.95,1551,1481.4,1502.7,1520,1517.2,1512.95,1892.6,738.6,60563,6708
19-Mar-24,Tuesday,March,Q1,2024,EQ,1555,1555,1487,1536.7,1503.05,1502.7,1517.22,1892.6,738.6,51292,5308
18-Mar-24,Monday,March,Q1,2024,EQ,1513.7,1581.7,1491.1,1506.4,1529.9,1536.7,1543.01,1892.6,738.6,102443,7829
15-Mar-24,Friday,March,Q1,2024,EQ,1520,1551,1469.95,1502.7,1510,1506.4,1505.84,1892.6,738.6,86183,7616
14-Mar-24,Thursday,March,Q1,2024,EQ,1362.05,1502.7,1359.6,1431.15,1502.7,1502.7,1448.09,1892.6,738.6,205112,12803
13-Mar-24,Wednesday,March,Q1,2024,EQ,1470,1548,1431.15,1506.45,1431.15,1431.15,1456.1,1892.6,738.6,107857,8826
12-Mar-24,Tuesday,March,Q1,2024,EQ,1565.05,1604.85,1506.45,1585.7,1506.45,1506.45,1540.14,1892.6,738.6,106786,8798
11-Mar-24,Monday,March,Q1,2024,EQ,1720,1720,1585.35,1668.75,1586,1585.7,1659.75,1892.6,738.6,299221,7491
07-Mar-24,Thursday,March,Q1,2024,EQ,1673.5,1724.95,1663,1664.75,1674,1668.75,1684.14,1892.6,738.6,58977,5474
06-Mar-24,Wednesday,March,Q1,2024,EQ,1740.55,1748.65,1644.9,1731.45,1660.2,1664.75,1667.79,1892.6,738.6,98791,9786
05-Mar-24,Tuesday,March,Q1,2024,EQ,1849,1849,1724.05,1814.75,1739,1731.45,1753.9,1892.6,738.6,113958,9359
04-Mar-24,Monday,March,Q1,2024,EQ,1868.95,1892.6,1780.3,1802.5,1814,1814.75,1850.97,1892.6,738.6,178386,12570
02-Mar-24,Saturday,March,Q1,2024,EQ,1730,1802.5,1720.1,1716.7,1802.5,1802.5,1789.36,1802.5,738.6,40151,2438
01-Mar-24,Friday,March,Q1,2024,EQ,1709.4,1750,1692,1699.3,1714,1716.7,1711.52,1758,738.6,49814,5108
29-Feb-24,Thursday,February,Q1,2024,EQ,1680.85,1758,1632.45,1674.3,1693.7,1699.3,1708.4,1758,738.6,374257,17220
28-Feb-24,Wednesday,February,Q1,2024,EQ,1625,1684.8,1615.15,1631.1,1665,1674.3,1664.3,1733.3,738.6,136402,12604
27-Feb-24,Tuesday,February,Q1,2024,EQ,1702,1704.5,1610.4,1695.15,1639.5,1631.1,1642.98,1733.3,738.6,146755,14657
26-Feb-24,Monday,February,Q1,2024,EQ,1679.9,1733.3,1679.9,1650.8,1689,1695.15,1720.27,1733.3,738.6,359658,25971
23-Feb-24,Friday,February,Q1,2024,EQ,1650.8,1650.8,1600,1572.2,1650.8,1650.8,1646.52,1650.8,738.6,279921,11427
